기준_년분기_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,폐업_률,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,총_유동인구_수,총_상주인구_수,총_가구_수,월_평균_소득_금액,지출_총금액,음식_지출_총금액
20253,암사1동,CS100010,커피-음료,40,49,2,6,352760002,223752790,129007212,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100009,호프-간이주점,37,44,9,11,1367146576,891192586,475953990,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100008,분식전문점,30,38,5,13,1401785078,976677512,425107566,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100007,치킨전문점,10,23,4,0,289507330,178999752,110507578,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100006,패스트푸드점,6,9,11,0,371367467,259505575,111861892,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100005,제과점,12,16,6,19,407918456,279551005,128367451,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100003,일식음식점,7,7,0,0,75465716,51464728,24000988,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100002,중식음식점,13,14,0,0,254504512,164282081,90222431,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,암사1동,CS100001,한식음식점,131,146,7,5,6612828473,4417040072,2195788401,다이나믹,111,48,8363335,33825,16155,2852157,6730150000,1336487000
20253,고덕2동,CS100010,커피-음료,37,56,2,7,74570766,47528715,27042051,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100009,호프-간이주점,8,12,0,0,291514074,188719481,102794593,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100008,분식전문점,8,16,0,0,394061456,299116945,94944511,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100007,치킨전문점,4,14,0,7,560817410,355305499,205511911,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100006,패스트푸드점,6,15,13,0,98604898,76231081,22373817,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100005,제과점,6,12,8,8,687233108,501664862,185568246,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100002,중식음식점,9,11,27,9,94175797,66444048,27731749,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕2동,CS100001,한식음식점,78,95,5,6,3522602393,2232922757,1289679636,다이나믹,73,49,2166822,22684,8924,2465499,2980426000,499501000
20253,고덕1동,CS100010,커피-음료,16,19,0,0,11408120,8201722,3206398,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,고덕1동,CS100009,호프-간이주점,8,9,0,0,390536525,291959607,98576918,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,고덕1동,CS100008,분식전문점,9,13,8,0,107337443,74915395,32422048,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,고덕1동,CS100007,치킨전문점,0,8,0,0,17387986,11392934,5995052,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,고덕1동,CS100002,중식음식점,3,3,0,0,84442844,46010986,38431858,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,고덕1동,CS100001,한식음식점,28,30,7,3,2095633616,1473718807,621914809,다이나믹,99,49,3548896,23932,8155,4618641,1765942000,293963000
20253,명일2동,CS100010,커피-음료,22,38,3,0,2285619618,1573441829,712177789,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100009,호프-간이주점,7,8,0,0,217090262,152063776,65026486,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100008,분식전문점,21,35,3,0,7249980075,4791747961,2458232114,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100007,치킨전문점,1,6,0,0,149474461,103097272,46377189,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100006,패스트푸드점,2,18,6,0,417794369,302193244,115601125,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100005,제과점,13,19,0,0,2094491477,1416126350,678365127,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100004,양식음식점,7,14,0,14,372886381,238535029,134351352,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
20253,명일2동,CS100003,일식음식점,12,18,11,0,1220123801,804331129,415792672,상권확장,106,55,2187076,17034,6424,4514278,7136615000,1359050000
